id_stats,player_id,season,competition,minutes_played,goals,assists,id_info,fbref_id,name,position,team,age,nationality,goal_contrib_per90,minutes_played_norm,goals_per90,assists_per90,position_group,cluster,distance_to_centroid,performance_score,performance_score_norm
2398,2398,2024-2025,Premier League,1965,0,3,2398,2b09d998,Tyler Adams,MF,Bournemouth,25,USA,0.1374045801526717,0.5745614035087719,0.0,0.1374045801526717,Midfielder,1,1.1377590503605894,0.0961832061068702,0.08003701133472123
2399,2399,2024-2025,Premier League,1409,1,1,2399,c81d773d,Tosin Adarabioyo,DF,Chelsea,26,ENG,0.127750177430802,0.4119883040935672,0.063875088715401,0.063875088715401,Defender,1,0.5467309618514596,0.1022001419446416,0.08504388916028377
2400,2400,2024-2025,Premier League,1097,2,2,2400,4dcec659,Simon Adingra,"FW,MF",Brighton,22,CIV,0.3281677301731996,0.3207602339181286,0.1640838650865998,0.1640838650865998,Midfielder,3,0.7268806921894384,0.26253418413855967,0.21846278911000877
2401,2401,2024-2025,Premier League,1410,1,0,2401,75f1ed80,Emmanuel Agbadou,DF,Wolves,27,CIV,0.0638297872340425,0.4122807017543859,0.0638297872340425,0.0,Defender,1,0.47719856928853843,0.057446808510638256,0.04780326056921798
2402,2402,2024-2025,Premier League,2995,2,1,2402,246d153b,Ola Aina,DF,Nott'ham Forest,27,NGA,0.0901502504173622,0.8757309941520468,0.0601001669449081,0.030050083472454,Defender,6,0.3447270242796997,0.07512520868113512,0.06251400241383538
2403,2403,2024-2025,Premier League,3109,4,7,2403,9b398aea,Rayan Aït-Nouri,DF,Wolves,23,ALG,0.3184303634609199,0.90906432748538,0.1157928594403345,0.2026375040205854,Defender,2,1.0155701459364386,0.24605982631071083,0.20475396802189982
2404,2404,2024-2025,Premier League,1438,0,0,2404,a8c0acb7,Kristoffer Ajer,DF,Brentford,26,NOR,0.0,0.4204678362573099,0.0,0.0,Defender,1,0.6060308586143538,0.0,0.0
2405,2405,2024-2025,Premier League,2014,0,0,2405,89ac64a6,Manuel Akanji,DF,Manchester City,29,SUI,0.0,0.5888888888888889,0.0,0.0,Defender,1,0.6303217590606678,0.0,0.0
2406,2406,2024-2025,Premier League,678,0,0,2406,eaeca114,Nathan Aké,DF,Manchester City,29,NED,0.0,0.1982456140350877,0.0,0.0,Defender,4,0.1514181344676892,0.0,0.0
2407,2407,2024-2025,Premier League,764,2,3,2407,4abac767,Carlos Alcaraz,"FW,MF",Everton,21,ARG,0.5890052356020943,0.223391812865497,0.2356020942408377,0.3534031413612565,Midfielder,7,0.8126396416286904,0.4594240837696335,0.38230094512817026
2408,2408,2024-2025,Premier League,2365,3,6,2408,cd1acf9d,Trent Alexander-Arnold,DF,Liverpool,25,ENG,0.3424947145877378,0.6915204678362573,0.1141649048625792,0.2283298097251585,Defender,2,0.7305299869921136,0.26257928118393226,0.2185003157519013
2409,2409,2024-2025,Premier League,2508,0,0,2409,7a2e46a8,Alisson,GK,Liverpool,31,BRA,0.0,0.7333333333333333,0.0,0.0,Goalkeeper,6,0.5486308215058642,0.0,0.0
